Stock#,Lane,Item#,Year,Make,Model,Odometer,VIN,Sale Document,Loss Type,Vehicle Location Info,Auction Date,Public,Primary Damage,Secondary Damage,Run & Drive,Starts,Odometer Status,Fuel Type,Cylinders,Transmission,Provider,Buy Now Price
25141462,,#TBD,2010,BUICK,ENCLAVE,"133,634",5GALRBED2AJ244384,CLEAR-MI,COLLISION,,7/11/2019 7:30:00 AM,YES,LEFT FRONT,SUSPENSION,NO,YES,ACTUAL,Gasoline,6 Cyl,Automatic,Hanover Insurance,
25294858,,#TBD,2014,BUICK,ENCORE,"73,556",KL4CJGSB9EB632552,SCRAP-MI,COLLISION,,7/11/2019 7:30:00 AM,NO,FRONT & REAR,RIGHT SIDE,NO,NO,ACTUAL,Other,,Automatic,ACIA,
24436744,,#TBD,2017,BUICK,ENVISION,"7,813",LRBFXBSAXHD114159,SALVAGE-MI,COLLISION,,7/11/2019 7:30:00 AM,NO,FRONT & REAR,SUSPENSION,NO,YES,ACTUAL,Gasoline,4 Cyl,Automatic,Progressive Casualty Insurance,
25489521,,#TBD,2011,BUICK,LACROSSE,"88,530",1G4GA5EC0BF258039,CLEAR-MI,OTHER,,7/11/2019 7:30:00 AM,YES,LEFT & RIGHT,FRONT & REAR,NO,NO,ACTUAL,Other,,Automatic,,"$3,200.00"
25128375,,#TBD,2006,BUICK,LACROSSE,"195,322",2G4WD582361127545,CLEAR-MI,COLLISION,,7/11/2019 7:30:00 AM,YES,FRONT END,LEFT REAR,YES,YES,ACTUAL,Gasoline,6 Cyl,Automatic,Progressive Casualty Insurance,$300.00
25146848,,#TBD,2008,BUICK,LUCERNE,"99,251",1G4HE57Y38U157227,SALVAGE-MI,COLLISION,,7/11/2019 7:30:00 AM,NO,FRONT END,RIGHT SIDE,NO,YES,ACTUAL,Gasoline,8 Cyl,Automatic,,
25497789,,#TBD,2008,BUICK,LUCERNE,"186,812",1G4HP57208U129195,CLEAR-MI,OTHER,,7/11/2019 7:30:00 AM,YES,FRONT & REAR,,YES,YES,ACTUAL,Gasoline,6 Cyl,Automatic,,
25005062,,#TBD,2017,BUICK,REGAL,"16,501",2G4GR5GX8H9147913,SCRAP-MI,COLLISION,,7/11/2019 7:30:00 AM,NO,FRONT & REAR,,NO,YES,ACTUAL,Gasoline,4 Cyl,Automatic,Geico Insurance,
25448986,,#TBD,2011,BUICK,REGAL,"104,896",W04G15GV9B1051787,CLEAR-MI,OTHER,,7/11/2019 7:30:00 AM,YES,ENGINE DAMAGE,LEFT & RIGHT,NO,NO,ACTUAL,Flexible Fuel,4 Cyl,Automatic,,"$1,000.00"
24607367,,#TBD,2014,BUICK,VERANO,"52,375",1G4PP5SK4E4108168,SCRAP-MI,COLLISION,,7/11/2019 7:30:00 AM,NO,FRONT END,ENGINE DAMAGE,NO,NO,INOPERABLE DIGITAL DASH,Flexible Fuel,4 Cyl,Automatic,Michigan Insurance Company,
25208415,,#TBD,2012,BUICK,VERANO,"32,671",1G4PP5SK8C4220694,CLEAR-MI,COLLISION,,7/11/2019 7:30:00 AM,YES,FRONT END,SUSPENSION,NO,YES,ACTUAL,Flexible Fuel,4 Cyl,Automatic,Progressive Casualty Insurance,
24901436,,#TBD,2018,CADILLAC,ATS,"12,378",1G6AE5RX2J0183103,CLEAR-MI,COLLISION,,7/11/2019 7:30:00 AM,YES,FRONT & REAR,LEFT & RIGHT,YES,YES,ACTUAL,Gasoline,4 Cyl,Automatic,Progressive Casualty Insurance,
24776632,,#TBD,2016,CADILLAC,ATS,"43,551",1G6AH5RX4G0197164,SALVAGE-MI,COLLISION,,7/11/2019 7:30:00 AM,NO,FRONT END,RIGHT SIDE,YES,YES,ACTUAL,Gasoline,4 Cyl,Automatic,Liberty Mutual,"$3,800.00"
24762216,,#TBD,2013,CADILLAC,ATS,"100,661",1G6AG5RX1D0147479,CLEAR-MI,COLLISION,,7/11/2019 7:30:00 AM,YES,FRONT END,,YES,YES,ACTUAL,Gasoline,4 Cyl,Automatic,Progressive Casualty Insurance,
24899969,,#TBD,2013,CADILLAC,ATS,"77,831",1G6AH5RX0D0139628,CLEAR-MI,COLLISION,,7/11/2019 7:30:00 AM,YES,REAR,RIGHT SIDE,YES,YES,ACTUAL,Gasoline,4 Cyl,Automatic,Progressive Casualty Insurance,
25186007,,#TBD,2014,CADILLAC,CTS,"53,739",1G6AX5S36E0190174,SALVAGE-MI,COLLISION,,7/11/2019 7:30:00 AM,NO,FRONT END,LEFT SIDE,YES,YES,ACTUAL,Gasoline,6 Cyl,Automatic,Progressive Casualty Insurance,
25306138,,#TBD,2011,CADILLAC,CTS,"62,621",1G6DC5EY1B0155764,SALVAGE-MA,COLLISION,,7/11/2019 7:30:00 AM,NO,FRONT END,RIGHT SIDE,YES,YES,ACTUAL,Gasoline,6 Cyl,Automatic,,"$2,650.00"
25229347,,#TBD,2009,CADILLAC,CTS,"160,003",1G6DG577390130285,CLEAR-MI,COLLISION,,7/11/2019 7:30:00 AM,YES,FRONT & REAR,,NO,YES,ACTUAL,Other,,Automatic,AAA Auto Club Group Companies,
25285606,,#TBD,2007,CADILLAC,CTS,"224,328",1G6DM57T970168980,CLEAR-MI,OTHER,,7/11/2019 7:30:00 AM,NO,ALL OVER,,YES,YES,ACTUAL,Gasoline,6 Cyl,Automatic,,$700.00
25412990,,#TBD,2006,CADILLAC,CTS,"234,618",1G6DP577660115520,CLEAR-MI,OTHER,,7/11/2019 7:30:00 AM,NO,FRONT & REAR,LEFT SIDE,NO,NO,ACTUAL,Gasoline,6 Cyl,Automatic,,$675.00
25275589,,#TBD,2003,CADILLAC,DEVILLE,"188,344",1G6KF57993U157972,CLEAR-MI,COLLISION,,7/11/2019 7:30:00 AM,YES,FRONT & REAR,,YES,YES,ACTUAL,Gasoline,8 Cyl,Automatic,Geico Insurance,
24623764,,#TBD,2010,CADILLAC,DTS,"111,506",1G6KA5EY9AU130759,SALVAGE-IL,COLLISION,,7/11/2019 7:30:00 AM,NO,FRONT & REAR,LEFT & RIGHT,NO,YES,ACTUAL,Gasoline,8 Cyl,Automatic,,
25498011,,#TBD,2008,CADILLAC,DTS,"147,545",1G6KD57Y28U197427,CLEAR-MI,OTHER,,7/11/2019 7:30:00 AM,NO,LEFT SIDE,RIGHT SIDE,YES,YES,ACTUAL,Gasoline,8 Cyl,Automatic,,
24610182,,#TBD,2011,CADILLAC,SRX,"85,105",3GYFNDEY1BS549617,CLEAR-MI,COLLISION,,7/11/2019 7:30:00 AM,YES,FRONT END,,NO,NO,ACTUAL,Gasoline,6 Cyl,Automatic,Geico Insurance,"$3,850.00"
25088311,,#TBD,2005,CADILLAC,SRX,"133,011",1GYEE63A550212134,SALVAGE-MI,OTHER,,7/11/2019 7:30:00 AM,NO,FRONT & REAR,FRESH WATER,NO,NO,ACTUAL,Gasoline,8 Cyl,Automatic,,$750.00
25505341,,#TBD,2007,CADILLAC,STS,"183,912",1G6DW677870192285,CLEAR-MI,OTHER,,7/11/2019 7:30:00 AM,YES,REAR,LEFT & RIGHT,YES,YES,ACTUAL,Gasoline,6 Cyl,Automatic,,
25118075,,#TBD,2018,CADILLAC,XTS,"42,640",2G61M5S30J9117942,SALVAGE-MI,COLLISION,,7/11/2019 7:30:00 AM,NO,FRONT & REAR,RIGHT SIDE,NO,NO,ACTUAL,Gasoline,6 Cyl,Automatic,Hanover Insurance,
25303444,,#TBD,2006,CAPE DORY,OTHER,,CD022510L506,WATERCRAFT-MI,COLLISION,,7/11/2019 7:30:00 AM,YES,LEFT SIDE,,NO,NO,,Other,,Unknown,Progressive Casualty Insurance,
25296973,,#TBD,2007,CHEVROLET,AVALANCHE,"218,465",3GNFK12337G216973,CLEAR-MI,OTHER,,7/11/2019 7:30:00 AM,YES,LEFT SIDE,,NO,NO,ACTUAL,Flexible Fuel,8 Cyl,Automatic,,
25394850,,#TBD,2002,CHEVROLET,AVALANCHE,"175,929",3GNEC13TX2G363310,CLEAR-MI,OTHER,,7/11/2019 7:30:00 AM,NO,FRONT & REAR,RIGHT SIDE,YES,YES,ACTUAL,Gasoline,8 Cyl,Automatic,,"$1,275.00"
25084101,,#TBD,2008,CHEVROLET,AVEO,"102,817",KL1TD66658B265956,CLEAR-MI,OTHER,,7/11/2019 7:30:00 AM,NO,MECHANICAL,,NO,YES,ACTUAL,Gasoline,4 Cyl,Automatic,,$475.00
24992857,,#TBD,2018,CHEVROLET,CAMARO,"16,562",1G1FA1RS4J0131847,SALVAGE-MI,COLLISION,,7/11/2019 7:30:00 AM,NO,LEFT SIDE,,YES,YES,ACTUAL,Gasoline,6 Cyl,Manual,Progressive Casualty Insurance,
25092526,,#TBD,2012,CHEVROLET,CAMARO,"63,851",2G1FA1E31C9194881,SCRAP-MI,COLLISION,,7/11/2019 7:30:00 AM,NO,RIGHT SIDE,SUSPENSION,NO,YES,ACTUAL,Other,,Automatic,ACIA,
25433912,,#TBD,2016,CHEVROLET,CITY EXPRESS,"150,760",3N63M0ZN2GK690706,CLEAR-MI,OTHER,,7/11/2019 7:30:00 AM,NO,FRONT END,,NO,YES,INOPERABLE DIGITAL DASH,Gasoline,4 Cyl,Automatic,Element Fleet Management,
25425545,,#TBD,2008,CHEVROLET,COBALT,"176,382",1G1AL58F987110283,PREVIOUS SALVAGE-MI,OTHER,,7/11/2019 7:30:00 AM,YES,LEFT & RIGHT,FRONT & REAR,YES,YES,ACTUAL,Gasoline,4 Cyl,Automatic,,$750.00
25447332,,#TBD,2008,CHEVROLET,COBALT,"141,896",1G1AL58F887211380,CLEAR-MI,OTHER,,7/11/2019 7:30:00 AM,NO,FRONT END,,YES,YES,ACTUAL,Gasoline,4 Cyl,Automatic,,$625.00
25179091,,#TBD,2008,CHEVROLET,COBALT,"188,614",1G1AL18F887163498,CLEAR-MI,COLLISION,,7/11/2019 7:30:00 AM,YES,FRONT END,ENGINE DAMAGE,NO,NO,ACTUAL,Gasoline,4 Cyl,Automatic,Hanover Insurance,
25104353,,#TBD,2008,CHEVROLET,COBALT,"166,502",1G1AL58F187124677,CLEAR-MI,WATER,,7/11/2019 7:30:00 AM,YES,FLOOD,FRONT & REAR,NO,NO,ACTUAL,Gasoline,4 Cyl,Automatic,Progressive Casualty Insurance,$200.00
25202407,,#TBD,2016,CHEVROLET,COLORADO,"141,651",1GCHSBEA5G1243849,CLEAR-MI,OTHER,,7/11/2019 7:30:00 AM,NO,LEFT & RIGHT,,YES,YES,ACTUAL,Gasoline,4 Cyl,Automatic,Emkay,"$7,500.00"
25400106,,#TBD,2016,CHEVROLET,COLORADO,"66,160",1GCHSBEA0G1288147,CLEAR-MI,OTHER,,7/11/2019 7:30:00 AM,NO,FRONT END,,YES,YES,ACTUAL,Gasoline,4 Cyl,Automatic,Emkay,"$7,500.00"
25224597,,#TBD,2015,CHEVROLET,COLORADO,"113,773",1GCHSAEA4F1206249,CLEAR-MI,OTHER,,7/11/2019 7:30:00 AM,NO,RIGHT FRONT,TRANSMISSION,NO,YES,ACTUAL,Gasoline,4 Cyl,Automatic,Emkay,
25326806,,#TBD,2008,CHEVROLET,COLORADO,"167,745",1GCCS199488102588,CLEAR-MI,OTHER,,7/11/2019 7:30:00 AM,NO,FRONT END,ENGINE DAMAGE,NO,YES,ACTUAL,Gasoline,4 Cyl,Automatic,,$650.00
25387702,,#TBD,2004,CHEVROLET,COLORADO,"185,216",1GCDS136248203044,CLEAR-MI,OTHER,,7/11/2019 7:30:00 AM,NO,REAR,RIGHT REAR,NO,YES,ACTUAL,Gasoline,5 Cyl,Automatic,,"$1,525.00"
25373829,,#TBD,1978,CHEVROLET,CORVETTE,"54,509",1Z87L8S427617,CLEAR-MI,OTHER,,7/11/2019 7:30:00 AM,YES,FRONT END,,YES,YES,EXCEEDS MECHANICAL LIMITS,Other,,Unknown,,"$11,000.00"
25024724,,#TBD,2017,CHEVROLET,CRUZE,"52,450",1G1BE5SM1H7101647,SALVAGE-MI,COLLISION,,7/11/2019 7:30:00 AM,NO,FRONT END,,YES,YES,ACTUAL,Gasoline,4 Cyl,Automatic,Progressive Casualty Insurance,
24880087,,#TBD,2015,CHEVROLET,CRUZE,"88,641",1G1PE5SB6F7257247,SCRAP-MI,COLLISION,,7/11/2019 7:30:00 AM,NO,SUSPENSION,RIGHT REAR,YES,YES,ACTUAL,Gasoline,4 Cyl,Automatic,,
24830467,,#TBD,2014,CHEVROLET,CRUZE,"93,541",1G1PD5SB7E7278710,SCRAP-MI,COLLISION,,7/11/2019 7:30:00 AM,NO,REAR,,YES,YES,ACTUAL,Gasoline,4 Cyl,Manual,AAA Auto Club Group Companies,
25052756,,#TBD,2014,CHEVROLET,CRUZE,"34,511",1G1PH5SB8E7180726,SCRAP-MI,COLLISION,,7/11/2019 7:30:00 AM,NO,REAR,,YES,YES,ACTUAL,Gasoline,4 Cyl,Automatic,Meemic Insurance,
25228270,,#TBD,2014,CHEVROLET,CRUZE,"50,555",1G1PG5SB1E7187486,SCRAP-MI,COLLISION,,7/11/2019 7:30:00 AM,NO,RIGHT SIDE,,YES,YES,ACTUAL,Gasoline,4 Cyl,Automatic,Hanover Insurance,
25261953,,#TBD,2012,CHEVROLET,CRUZE,"92,690",1G1PC5SH8C7383003,CLEAR-MI,COLLISION,,7/11/2019 7:30:00 AM,YES,FRONT END,,YES,YES,ACTUAL,Other,,Automatic,AAA Auto Club Group Companies,
25089353,,#TBD,2012,CHEVROLET,CRUZE,"116,491",1G1PG5SC1C7118772,CLEAR-MI,OTHER,,7/11/2019 7:30:00 AM,YES,FRONT END,,NO,NO,ACTUAL,Gasoline,4 Cyl,Automatic,Hanover Insurance,
25150935,,#TBD,2011,CHEVROLET,CRUZE,"158,447",1G1PK5S93B7284020,CLEAR-MI,OTHER,,7/11/2019 7:30:00 AM,NO,MECHANICAL,FRONT & REAR,NO,YES,ACTUAL,Gasoline,4 Cyl,Manual,,"$1,200.00"
25427539,,#TBD,2011,CHEVROLET,CRUZE,"124,262",1G1PC5SH2B7158607,CLEAR-MI,OTHER,,7/11/2019 7:30:00 AM,NO,REAR,RIGHT SIDE,YES,YES,ACTUAL,Gasoline,4 Cyl,Automatic,,
25071448,,#TBD,2016,CHEVROLET,CRUZE LIMITED,"36,781",1G1PC5SH0G7136595,SCRAP-MI,COLLISION,,7/11/2019 7:30:00 AM,NO,FRONT END,,NO,YES,ACTUAL,Gasoline,4 Cyl,Automatic,Meemic Insurance,
24760032,,#TBD,2016,CHEVROLET,CRUZE LIMITED,"36,326",1G1PE5SB0G7161907,SCRAP-MI,COLLISION,,7/11/2019 7:30:00 AM,NO,FRONT END,,YES,YES,ACTUAL,Gasoline,4 Cyl,Automatic,Progressive Casualty Insurance,
24791682,,#TBD,2019,CHEVROLET,EQUINOX,"5,718",2GNAXKEVXK6163319,SCRAP-MI,COLLISION,,7/11/2019 7:30:00 AM,NO,FRONT END,,NO,NO,ACTUAL,Gasoline,4 Cyl,Automatic,Progressive Casualty Insurance,"$3,000.00"
25117597,,#TBD,2019,CHEVROLET,EQUINOX,"3,838",2GNAXKEV4K6178642,CLEAR-MI,COLLISION,,7/11/2019 7:30:00 AM,YES,FRONT END,,YES,YES,ACTUAL,Gasoline,4 Cyl,Automatic,Progressive Casualty Insurance,
25018548,,#TBD,2019,CHEVROLET,EQUINOX,"2,259",2GNAXKEV0K6207117,SCRAP-MI,COLLISION,,7/11/2019 7:30:00 AM,NO,LEFT FRONT,FRONT END,NO,YES,ACTUAL,Gasoline,4 Cyl,Automatic,Progressive Casualty Insurance,
25374154,,#TBD,2019,CHEVROLET,EQUINOX,250,2GNAXUEV1K6278337,CLEAR-MI,OTHER,,7/11/2019 7:30:00 AM,NO,FRONT END,,YES,YES,ACTUAL,Gasoline,4 Cyl,Automatic,Avis Budget Group,
24999553,,#TBD,2018,CHEVROLET,EQUINOX,"16,885",2GNAXJEV9J6314143,SCRAP-MI,COLLISION,,7/11/2019 7:30:00 AM,NO,REAR,,YES,YES,ACTUAL,Gasoline,4 Cyl,Automatic,Progressive Casualty Insurance,
24963578,,#TBD,2018,CHEVROLET,EQUINOX,"18,020",2GNAXHEV8J6285064,SALVAGE-MI,COLLISION,,7/11/2019 7:30:00 AM,NO,FRONT END,,YES,YES,ACTUAL,Gasoline,4 Cyl,Automatic,Progressive Casualty Insurance,
24981443,,#TBD,2018,CHEVROLET,EQUINOX,"13,908",2GNAXKEX3J6265108,SCRAP-MI,COLLISION,,7/11/2019 7:30:00 AM,NO,FRONT END,,YES,YES,ACTUAL,Gasoline,4 Cyl,Automatic,Progressive Casualty Insurance,
25107911,,#TBD,2018,CHEVROLET,EQUINOX,"13,081",3GNAXKEX9JS536321,SALVAGE-MI,COLLISION,,7/11/2019 7:30:00 AM,NO,REAR,LEFT & RIGHT,YES,YES,ACTUAL,Gasoline,4 Cyl,Automatic,Progressive Casualty Insurance,
24957540,,#TBD,2018,CHEVROLET,EQUINOX,"16,099",2GNAXHEV8J6201518,SALVAGE-MI,THEFT,,7/11/2019 7:30:00 AM,NO,STRIP,THEFT,NO,YES,ACTUAL,Gasoline,4 Cyl,Automatic,Meemic Insurance,
25061407,,#TBD,2017,CHEVROLET,EQUINOX,"11,198",2GNALCEK3H1599233,SALVAGE-MI,COLLISION,,7/11/2019 7:30:00 AM,NO,FRONT & REAR,LEFT & RIGHT,YES,YES,ACTUAL,Gasoline,4 Cyl,Automatic,Hanover Insurance,
25014898,,#TBD,2017,CHEVROLET,EQUINOX,"29,540",2GNALCEK7H6265676,CLEAR-MI,COLLISION,,7/11/2019 7:30:00 AM,YES,FRONT END,LEFT & RIGHT,NO,NO,ACTUAL,Gasoline,4 Cyl,Automatic,,
25035819,,#TBD,2017,CHEVROLET,EQUINOX,"14,803",2GNALCEK5H1593160,SCRAP-MI,COLLISION,,7/11/2019 7:30:00 AM,NO,FRONT END,LEFT & RIGHT,NO,NO,ACTUAL,Gasoline,4 Cyl,Automatic,Progressive Casualty Insurance,
25208263,,#TBD,2017,CHEVROLET,EQUINOX,"30,129",2GNALCEK4H1561882,CLEAR-MI,COLLISION,,7/11/2019 7:30:00 AM,YES,FRONT END,LEFT FRONT,NO,YES,ACTUAL,Gasoline,4 Cyl,Automatic,Progressive Casualty Insurance,
25074100,,#TBD,2014,CHEVROLET,EQUINOX,"75,448",2GNALBEK7E6265005,SCRAP-MI,COLLISION,,7/11/2019 7:30:00 AM,NO,FRONT END,LEFT & RIGHT,NO,YES,ACTUAL,Flexible Fuel,4 Cyl,Automatic,AAA Auto Club Group Companies,
24669899,,#TBD,2013,CHEVROLET,EQUINOX,"127,247",2GNALDEKXD6209571,CLEAR-MI,COLLISION,,7/11/2019 7:30:00 AM,YES,FRONT & REAR,,NO,YES,ACTUAL,Gasoline,4 Cyl,Automatic,Progressive Casualty Insurance,
25349338,,#TBD,2012,CHEVROLET,EQUINOX,"38,950",2GNALPEK4C6137220,CLEAR-MI,COLLISION,,7/11/2019 7:30:00 AM,YES,REAR,SUSPENSION,NO,YES,ACTUAL,Other,,Automatic,ACIA,
25012275,,#TBD,2011,CHEVROLET,EQUINOX,"71,251",2CNFLCEC2B6266096,CLEAR-MI,COLLISION,,7/11/2019 7:30:00 AM,YES,FRONT & REAR,LEFT SIDE,NO,NO,ACTUAL,Gasoline,4 Cyl,Automatic,Progressive Casualty Insurance,
25465347,,#TBD,2009,CHEVROLET,EQUINOX,"184,180",2CNDL33F296201358,CLEAR-MI,OTHER,,7/11/2019 7:30:00 AM,NO,LEFT FRONT,LEFT SIDE,YES,YES,ACTUAL,Gasoline,6 Cyl,Automatic,,"$1,350.00"
25062544,,#TBD,2006,CHEVROLET,EQUINOX,"150,886",2CNDL73F366013001,SALVAGE-MI,WATER,,7/11/2019 7:30:00 AM,NO,FLOOD,FRONT & REAR,NO,NO,ACTUAL,Gasoline,6 Cyl,Automatic,Hanover Insurance,
25453397,,#TBD,2018,CHEVROLET,EXPRESS G2500,"6,558",1GCWGAFG1J1907514,CLEAR-AZ,COLLISION,,7/11/2019 7:30:00 AM,NO,FRONT END,MECHANICAL,NO,NO,ACTUAL,Flexible Fuel,8 Cyl,Automatic,,
25294725,,#TBD,2010,CHEVROLET,HHR,"88,069",3GNBABDB4AS541860,CLEAR-MI,COLLISION,,7/11/2019 7:30:00 AM,YES,FRONT END,LEFT & RIGHT,YES,YES,ACTUAL,Other,,Automatic,AAA Auto Club Group Companies,
24936814,,#TBD,2008,CHEVROLET,HHR,"129,678",3GNDA33P88S516904,CLEAR-MI,COLLISION,,7/11/2019 7:30:00 AM,YES,LEFT SIDE,,NO,YES,ACTUAL,Gasoline,4 Cyl,Automatic,Hanover Insurance,$600.00
25026226,,#TBD,2007,CHEVROLET,HHR,"209,998",3GNDA13D57S607220,ORIGINAL-OH,OTHER,,7/11/2019 7:30:00 AM,NO,FRONT & REAR,LEFT & RIGHT,NO,YES,ACTUAL,Gasoline,4 Cyl,Automatic,,$500.00
24716949,,#TBD,2017,CHEVROLET,IMPALA,"59,194",2G1105S3XH9164181,SCRAP-MI,COLLISION,,7/11/2019 7:30:00 AM,NO,FRONT END,LEFT & RIGHT,NO,NO,ACTUAL,Gasoline,6 Cyl,Automatic,Hanover Insurance,
24387700,,#TBD,2017,CHEVROLET,IMPALA,"22,891",2G1105SA3H9149987,SCRAP-MI,COLLISION,,7/11/2019 7:30:00 AM,NO,FRONT END,MECHANICAL,NO,YES,ACTUAL,Gasoline,4 Cyl,Automatic,Progressive Casualty Insurance,"$1,600.00"
25193651,,#TBD,2015,CHEVROLET,IMPALA,"53,166",1G1125S34FU148049,SALVAGE-MI,WATER,,7/11/2019 7:30:00 AM,NO,FLOOD,FRONT & REAR,NO,NO,ACTUAL,Gasoline,6 Cyl,Automatic,Progressive Casualty Insurance,
23983559,,#TBD,2014,CHEVROLET,IMPALA,"99,376",1G1115SL9EU106283,SALVAGE TITLE-TX,COLLISION,,7/11/2019 7:30:00 AM,NO,FRONT END,,YES,YES,ACTUAL,Gasoline,4 Cyl,Automatic,American Family Insurance,"$1,900.00"
24952425,,#TBD,2013,CHEVROLET,IMPALA,"104,389",2G1WB5E34D1176797,CLEAR-MI,COLLISION,,7/11/2019 7:30:00 AM,YES,RIGHT SIDE,RIGHT REAR,NO,YES,ACTUAL,Gasoline,6 Cyl,Automatic,Meemic Insurance,
25103085,,#TBD,2013,CHEVROLET,IMPALA,"63,572",2G1WB5E34D1155514,CLEAR-MI,COLLISION,,7/11/2019 7:30:00 AM,YES,FRONT & REAR,RIGHT SIDE,NO,NO,INOPERABLE DIGITAL DASH,Other,,Automatic,AAA Auto Club Group Companies,
25227705,,#TBD,2011,CHEVROLET,IMPALA,"116,389",2G1WG5EK4B1188471,CLEAR-MI,COLLISION,,7/11/2019 7:30:00 AM,YES,FRONT & REAR,RIGHT SIDE,NO,YES,ACTUAL,Flexible Fuel,6 Cyl,Automatic,Hanover Insurance,
